delta,mode,singular_value,scnet_damping,oracle_tikhonov_damping,oracle_tsvd_damping
0.1,1,1.0,0.9963784639835358,0.9362163243310652,1.0
0.1,2,0.3535533905932738,0.755948631927371,0.647235092002279,1.0
0.1,3,0.19245008972987526,0.35167541286163034,0.35217609423390556,0.0
0.1,4,0.125,0.14834060574206523,0.1865577930619593,0.0
0.1,5,0.08944271909999159,0.0638351947942283,0.10508450468818606,0.0
0.1,6,0.06804138174397717,0.02904352579661645,0.06362979192741089,0.0
0.1,7,0.05399492471560389,0.013760744169150713,0.0410368906579825,0.0
0.1,8,0.04419417382415922,0.007264554237437551,0.02786900702198914,0.0
0.1,9,0.037037037037037035,0.0038887109564238924,0.019737027074581158,0.0
0.1,10,0.03162277660168379,0.0023000982937883235,0.014465665740426101,0.0
0.1,11,0.02741012223434215,0.0014060521596256875,0.01090750740972574,0.0
0.1,12,0.024056261216234408,0.0009758018949141842,0.008422664851399097,0.0
0.1,13,0.021334622931739582,0.0005753090906291618,0.006636586666244197,0.0
0.1,14,0.019090088708030313,0.00042415295001410413,0.00532066182250632,0.0
0.1,15,0.01721325931647741,0.0002856841144093778,0.004330202664658468,0.0
0.1,16,0.015625,0.0002600816273261444,0.003570698727161735,0.0
0.1,17,0.014266801472725469,0.00018138924605955254,0.002978683407892309,0.0
0.1,18,0.013094570021973102,0.00020487013254023623,0.0025104841919816635,0.0
0.1,19,0.012074512308976935,0.00012423857506655624,0.002135391371527714,0.0
0.1,20,0.011180339887498949,9.58778015046846e-05,0.0018313889453367216,0.0
0.1,21,0.010391328106475828,8.239464696816868e-05,0.001582417230073102,0.0
0.1,22,0.009690941652527747,7.78079331103072e-05,0.0013765765679412318,0.0
0.1,23,0.009065844089438033,6.547352945199237e-05,0.001204923712894507,0.0
0.1,24,0.008505172717997146,6.248478634370258e-05,0.0010606499178598347,0.0
0.1,25,0.008,5.4319982573360904e-05,0.0009385099030232066,0.0
0.1,26,0.00754292827454554,5.251280051379581e-05,0.0008344188144613775,0.0
0.1,27,0.007127781101106491,4.8094512327224946e-05,0.0007451636016020848,0.0
0.1,28,0.006749365589450486,5.016827093641041e-05,0.0006681935557627074,0.0
0.1,29,0.006403287523346616,4.239193526882445e-05,0.0006014664134080831,0.0
0.1,30,0.006085806194501846,3.77505257492885e-05,0.0005433339860723121,0.0
0.1,31,0.005793719420218545,4.027226303878706e-05,0.0004924562588318701,0.0
0.1,32,0.005524271728019903,3.5158623177267145e-05,0.0004477362306856036,0.0
0.1,33,0.005275080483505995,3.460423925571376e-05,0.00040827003065644995,0.0
0.1,34,0.005044076033603201,3.301594956064946e-05,0.0003733083975751871,0.0
0.1,35,0.004829452884162952,3.262924025329994e-05,0.0003422266933019905,0.0
0.1,36,0.004629629629629629,3.100607051601401e-05,0.00031450138089967483,0.0
0.1,37,0.004443215873117764,3.0897461012500573e-05,0.00028969144152101014,0.0
0.1,38,0.004268984766599014,2.983397938805865e-05,0.0002674235937212175,0.0
0.1,39,0.004105850097566336,2.9193229667725972e-05,0.000247380462037639,0.0
0.1,40,0.003952847075210474,2.847609683885821e-05,0.00022929104912314033,0.0
0.1,41,0.003809116143624538,2.818560257946956e-05,0.00021292301901752728,0.0
0.1,42,0.003673889284811712,2.7082044860435417e-05,0.00019807641334732064,0.0
0.1,43,0.0035464783798280154,2.7145253217895516e-05,0.000184578507983352,0.0
0.1,44,0.0034262652792927686,2.6618009818776046e-05,0.00017227958252453721,0.0
0.1,45,0.0033126932999996885,2.6581409096252173e-05,0.000161049424350613,0.0
0.1,46,0.0032052599164108073,2.5653376447735353e-05,0.00015077442683372966,0.0
0.1,47,0.003103510457402012,2.5073439734114798e-05,0.0001413551704926991,0.0
0.1,48,0.003007032652029301,2.5914689675119006e-05,0.00013270439852820312,0.0
0.05,1,1.0,0.9988883917331696,0.9653086073704392,1.0
0.05,2,0.3535533905932738,0.8962103680968284,0.7766959566651883,1.0
0.05,3,0.19245008972987526,0.5576634931862354,0.5075292756676654,1.0
0.05,4,0.125,0.2895922514898702,0.3030265615856856,0.0
0.05,5,0.08944271909999159,0.1456286852627527,0.18207417546862434,0.0
0.05,6,0.06804138174397717,0.07361529034748673,0.11412089093301897,0.0
0.05,7,0.05399492471560389,0.038126025467645375,0.07503687574600151,0.0
0.05,8,0.04419417382415922,0.02078748928185087,0.05154552568497465,0.0
0.05,9,0.037037037037037035,0.01194631612667581,0.03676619057528846,0.0
0.05,10,0.03162277660168379,0.007018932971579488,0.027072291431452563,0.0
0.05,11,0.02741012223434215,0.004358542140733334,0.020477678772379233,0.0
0.05,12,0.024056261216234408,0.002847662206426321,0.015847584245728675,0.0
0.05,13,0.021334622931739582,0.0018263508160598575,0.012506865300739313,0.0
0.05,14,0.019090088708030313,0.0012161364125204274,0.010038724688191837,0.0
0.05,15,0.01721325931647741,0.0008117324371269206,0.008177202519857058,0.0
0.05,16,0.015625,0.0006437616545008495,0.0067475195998607605,0.0
0.05,17,0.014266801472725469,0.00046337052743911046,0.005631770134881443,0.0
0.05,18,0.013094570021973102,0.00037664887082064524,0.004748536210780365,0.0
0.05,19,0.012074512308976935,0.0002904191677698691,0.00404040927742161,0.0
0.05,20,0.011180339887498949,0.0002108261320645397,0.003466143315668408,0.0
0.05,21,0.010391328106475828,0.00016731683084799442,0.002995598715943041,0.0
0.05,22,0.009690941652527747,0.000164044050303346,0.002606411445841932,0.0
0.05,23,0.009065844089438033,0.0001233757334521215,0.0022817541593798223,0.0
0.05,24,0.008505172717997146,0.00011731628236884716,0.0020088033763636074,0.0
0.05,25,0.008,9.505980966787319e-05,0.001777672271049782,0.0
0.05,26,0.00754292827454554,8.857316024659667e-05,0.0015806560837276428,0.0
0.05,27,0.007127781101106491,8.067221876990516e-05,0.0014116909456349895,0.0
0.05,28,0.006749365589450486,8.053547325835098e-05,0.0012659606375420554,0.0
0.05,29,0.006403287523346616,6.343759329683962e-05,0.0011396073545647087,0.0
0.05,30,0.006085806194501846,5.4298565581120784e-05,0.0010295165597126598,0.0
0.05,31,0.005793719420218545,5.6544600029155844e-05,0.0009331552624141478,0.0
0.05,32,0.005524271728019903,4.8633453367074256e-05,0.0008484492620043493,0.0
0.05,33,0.005275080483505995,4.7935538324964e-05,0.0007736891132511549,0.0
0.05,34,0.005044076033603201,4.478891078542802e-05,0.0007074574750046816,0.0
0.05,35,0.004829452884162952,4.3535314573091455e-05,0.0006485725272591018,0.0
0.05,36,0.004629629629629629,4.022221606646781e-05,0.0005960435690093589,0.0
0.05,37,0.004443215873117764,4.008006743606529e-05,0.0005490359262291392,0.0
0.05,38,0.004268984766599014,3.808744868729264e-05,0.0005068430313028398,0.0
0.05,39,0.004105850097566336,3.691864505890407e-05,0.0004688640671772376,0.0
0.05,40,0.003952847075210474,3.524797947829939e-05,0.00043458595952490525,0.0
0.05,41,0.003809116143624538,4.694786231993931e-05,0.00040356878862464447,0.0
0.05,42,0.003673889284811712,3.291349448772962e-05,0.0003754339076581195,0.0
0.05,43,0.0035464783798280154,3.966819410561584e-05,0.00034985421561247213,0.0
0.05,44,0.0034262652792927686,3.180189228078234e-05,0.00032654615516210044,0.0
0.05,45,0.0033126932999996885,3.2190917150728636e-05,0.0003052630989850107,0.0
0.05,46,0.0032052599164108073,3.012183108512545e-05,0.00028578985934771863,0.0
0.05,47,0.003103510457402012,2.9341665274841942e-05,0.00026793811087114837,0.0
0.05,48,0.003007032652029301,3.070359076082241e-05,0.00025154255914479654,0.0
0.01,1,1.0,0.9998192889690399,0.9932331811098465,1.0
0.01,2,0.3535533905932738,0.9940474245548249,0.9483137111681761,1.0
0.01,3,0.19245008972987526,0.9375198813080787,0.844631077345627,1.0
0.01,4,0.125,0.7767042585313321,0.6963657736146669,1.0
0.01,5,0.08944271909999159,0.5673788729310035,0.5400690496566062,1.0
0.01,6,0.06804138174397717,0.3935568545497954,0.4045977076852373,0.0
0.01,7,0.05399492471560389,0.2643905955189839,0.29968546839501314,0.0
0.01,8,0.04419417382415922,0.176118242661003,0.2228057061234486,0.0
0.01,9,0.037037037037037035,0.11636080026207492,0.1675990991308267,0.0
0.01,10,0.03162277660168379,0.07762176389270461,0.12799310777667905,0.0
0.01,11,0.02741012223434215,0.05253501147247153,0.09932461803280809,0.0
0.01,12,0.024056261216234408,0.03625394412042806,0.0782918169044513,0.0
0.01,13,0.021334622931739582,0.02511776967521291,0.06262530243826053,0.0
0.01,14,0.019090088708030313,0.017620798318996093,0.05077519924756324,0.0
0.01,15,0.01721325931647741,0.012397780458966735,0.04167776800782419,0.0
0.01,16,0.015625,0.00913799578914768,0.034595225134436684,0.0
0.01,17,0.014266801472725469,0.006713025388293318,0.029009152351836175,0.0
0.01,18,0.013094570021973102,0.004775548907302436,0.02455014711365963,0.0
0.01,19,0.012074512308976935,0.003876757794088917,0.020951261429367107,0.0
0.01,20,0.011180339887498949,0.0028233779807778775,0.01801692547015228,0.0
0.01,21,0.010391328106475828,0.0021470402885825023,0.015601972825136368,0.0
0.01,22,0.009690941652527747,0.0018162068323727,0.013597306082944165,0.0
0.01,23,0.009065844089438033,0.0013795015894938843,0.011919973203614152,0.0
0.01,24,0.008505172717997146,0.0011129647831839974,0.010506208495993699,0.0
0.01,25,0.008,0.0010029877843990107,0.009306490925171046,0.0
0.01,26,0.00754292827454554,0.0008060327789280563,0.008281992292899996,0.0
0.01,27,0.007127781101106491,0.0006213952149046236,0.007401994742468807,0.0
0.01,28,0.006749365589450486,0.000518252333640703,0.006641992329379821,0.0
0.01,29,0.006403287523346616,0.0004462307985377265,0.005982280864938322,0.0
0.01,30,0.006085806194501846,0.00033248595650366044,0.005406900087531442,0.0
0.01,31,0.005793719420218545,0.00032131151583598695,0.004902832712421562,0.0
0.01,32,0.005524271728019903,0.000259314935610746,0.004459392622062291,0.0
0.01,33,0.005275080483505995,0.0002380130566743901,0.004067753629473427,0.0
0.01,34,0.005044076033603201,0.00022031985590001567,0.0037205836496691487,0.0
0.01,35,0.004829452884162952,0.00018163721947348676,0.003411758579307435,0.0
0.01,36,0.004629629629629629,0.00016464833192367224,0.0031361369344276363,0.0
0.01,37,0.004443215873117764,0.0001787761227315059,0.002889381154284905,0.0
0.01,38,0.004268984766599014,0.0001471324251870101,0.002667815007122881,0.0
0.01,39,0.004105850097566336,0.00013288691198249582,0.002468309117327324,0.0
0.01,40,0.003952847075210474,0.00011718420980832888,0.002288188540871252,0.0
0.01,41,0.003809116143624538,0.00010934071768497233,0.0021251577351675296,0.0
0.01,42,0.003673889284811712,0.00010229155770502985,0.001977239333194171,0.0
